date,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,positive_rate,total_vaccinations,people_vaccinated(1st Dose Only),people_fully_vaccinated,new_vaccinations
2020-01-30,1,1,,,,,,,,,
2020-01-31,1,0,,,,,,,,,
2020-02-01,1,0,,,,,,,,,
2020-02-02,2,1,,,,,,,,,
2020-02-03,3,1,,,,,,,,,
2020-02-04,3,0,,,,,,,,,
2020-02-05,3,0,,,,,,,,,
2020-02-06,3,0,,,,,,,,,
2020-02-07,3,0,,,,,,,,,
2020-02-08,3,0,,,,,,,,,
2020-02-09,3,0,,,,,,,,,
2020-02-10,3,0,,,,,,,,,
2020-02-11,3,0,,,,,,,,,
2020-02-12,3,0,,,,,,,,,
2020-02-13,3,0,,,,,,,,,
2020-02-14,3,0,,,,,,,,,
2020-02-15,3,0,,,,,,,,,
2020-02-16,3,0,,,,,,,,,
2020-02-17,3,0,,,,,,,,,
2020-02-18,3,0,,,,,,,,,
2020-02-19,3,0,,,,,,,,,
2020-02-20,3,0,,,,,,,,,
2020-02-21,3,0,,,,,,,,,
2020-02-22,3,0,,,,,,,,,
2020-02-23,3,0,,,,,,,,,
2020-02-24,3,0,,,,,,,,,
2020-02-25,3,0,,,,,,,,,
2020-02-26,3,0,,,,,,,,,
2020-02-27,3,0,,,,,,,,,
2020-02-28,3,0,,,,,,,,,
2020-02-29,3,0,,,,,,,,,
2020-03-01,3,0,,,,,,,,,
2020-03-02,5,2,,,,,,,,,
2020-03-03,5,0,,,,,,,,,
2020-03-04,28,23,,,,,,,,,
2020-03-05,30,2,,,,,,,,,
2020-03-06,31,1,,,,,,,,,
2020-03-07,34,3,,,,,,,,,
2020-03-08,39,5,,,,,,,,,
2020-03-09,43,4,,,,,,,,,
2020-03-10,56,13,,,,,,,,,
2020-03-11,62,6,1,1,,,,,,,
2020-03-12,73,11,1,0,,,,,,,
2020-03-13,82,9,2,1,,6500,,,,,
2020-03-14,102,20,2,0,,,,,,,
2020-03-15,113,11,2,0,,,,,,,
2020-03-16,119,6,2,0,,,,,,,
2020-03-17,142,23,3,1,,,,,,,
2020-03-18,156,14,3,0,,13125,,,,,
2020-03-19,194,38,4,1,191,13316,,,,,
2020-03-20,244,50,5,1,1060,14376,0.021,,,,
2020-03-21,330,86,4,-1,1325,15701,0.029,,,,
2020-03-22,396,66,7,3,1298,16999,0.036,,,,
2020-03-23,499,103,10,3,3708,20707,0.037,,,,
2020-03-24,536,37,10,0,157,20864,0.043,,,,
2020-03-25,657,121,12,2,4280,25144,0.042,,,,
2020-03-26,727,70,20,8,,,0.041,,,,
2020-03-27,887,160,20,0,,27688,0.048,,,,
2020-03-28,987,100,24,4,,,0.043,,,,
2020-03-29,1024,37,27,3,,,0.036,,,,
2020-03-30,1251,227,32,5,,,0.044,,,,
2020-03-31,1397,146,35,3,,,0.042,,,,
2020-04-01,1998,601,58,23,,,0.069,,,,
2020-04-02,2543,545,72,14,,47951,0.084,,,,
2020-04-03,2567,24,72,0,21294,69245,0.04,,,,
2020-04-04,3082,515,86,14,10705,79950,0.043,,,,
2020-04-05,3588,506,99,13,9584,89534,0.047,,,,
2020-04-06,4778,1190,136,37,11534,101068,0.056,,,,
2020-04-07,5311,533,150,14,12947,114015,0.054,,,,
2020-04-08,5916,605,178,28,13904,127919,0.047,,,,
2020-04-09,6725,809,226,48,16991,144910,0.043,,,,
2020-04-10,7598,873,246,20,16420,161330,0.055,,,,
2020-04-11,8446,848,288,42,18044,179374,0.054,,,,
2020-04-12,9205,759,331,43,16374,195748,0.053,,,,
2020-04-13,10453,1248,358,27,21806,217554,0.049,,,,
2020-04-14,11487,1034,393,35,27339,244893,0.047,,,,
2020-04-15,12322,835,405,12,29706,274599,0.044,,,,
2020-04-16,13430,1108,448,43,28357,302956,0.042,,,,
2020-04-17,14352,922,486,38,32167,335123,0.039,,,,
2020-04-18,15722,1370,521,35,37000,372123,0.038,,,,
2020-04-19,17615,1893,559,38,29463,401586,0.041,,,,
2020-04-20,18539,924,592,33,,,0.038,,,,
2020-04-21,20080,1541,645,53,,462621,0.039,,,,
2020-04-22,21370,1290,681,36,,,0.044,,,,
2020-04-23,23077,1707,721,40,,500542,0.049,,,,
2020-04-24,24530,1453,780,59,41247,541789,0.049,,,,
2020-04-25,26283,1753,825,45,38168,579957,0.051,,,,
2020-04-26,27890,1607,881,56,45352,625309,0.046,,,,
2020-04-27,29451,1561,939,58,40510,665819,0.047,,,,
2020-04-28,31324,1873,1008,69,50914,716733,0.044,,,,
2020-04-29,33062,1738,1079,71,54031,770764,0.04,,,,
2020-04-30,34863,1801,1154,75,59437,830201,0.036,,,,
2020-05-01,37257,2394,1223,69,72453,902654,0.035,,,,
2020-05-02,39699,2442,1323,100,73709,976363,0.034,,,,
2020-05-03,42505,2806,1391,68,70087,1046450,0.035,,,,
2020-05-04,46437,3932,1566,175,60783,1107233,0.038,,,,
2020-05-05,49400,2963,1693,127,84713,1191946,0.038,,,,
2020-05-06,52987,3587,1785,92,84835,1276781,0.039,,,,
2020-05-07,56351,3364,1889,104,80632,1357413,0.041,,,,
2020-05-08,59695,3344,1985,96,80375,1437788,0.042,,,,
2020-05-09,62808,3113,2101,116,85425,1523213,0.042,,,,
2020-05-10,67161,4353,2212,111,85824,1609037,0.044,,,,
2020-05-11,70768,3607,2294,82,64651,1673688,0.043,,,,
2020-05-12,74292,3524,2415,121,85891,1759579,0.044,,,,
2020-05-13,78055,3763,2551,136,94671,1854250,0.043,,,,
2020-05-14,81997,3942,2649,98,92791,1947041,0.043,,,,
2020-05-15,85784,3787,2753,104,92911,2039952,0.043,,,,
2020-05-16,90648,4864,2871,118,94325,2134277,0.046,,,,
2020-05-17,95698,5050,3025,154,93365,2227642,0.046,,,,
2020-05-18,100328,4630,3156,131,75150,2302792,0.047,,,,
2020-05-19,106475,6147,3302,146,101475,2404267,0.05,,,,
2020-05-20,112028,5553,3434,132,108121,2512388,0.052,,,,
2020-05-21,118226,6198,3584,150,103532,2615920,0.054,,,,
2020-05-22,124794,6568,3726,142,103514,2719434,0.057,,,,
2020-05-23,131423,6629,3868,142,115364,2834798,0.058,,,,
2020-05-24,138536,7113,4024,156,108623,2943421,0.06,,,,
2020-05-25,144950,6414,4172,148,90170,3033591,0.061,,,,
2020-05-26,150793,5843,4344,172,92528,3126119,0.061,,,,
2020-05-27,158086,7293,4534,190,116041,3242160,0.063,,,,
2020-05-28,165386,7300,4711,177,119976,3362136,0.063,,,,
2020-05-29,173491,8105,4980,269,121702,3483838,0.064,,,,
2020-05-30,181827,8336,5185,205,127761,3611599,0.065,,,,
2020-05-31,190609,8782,5408,223,125428,3737027,0.066,,,,
2020-06-01,198370,7761,5608,200,100180,3837207,0.066,,,,
2020-06-02,207191,8821,5829,221,128868,3966075,0.067,,,,
2020-06-03,216824,9633,6088,259,137158,4103233,0.068,,,,
2020-06-04,226713,9889,6363,275,139485,4242718,0.07,,,,
2020-06-05,236184,9471,6649,286,143661,4386379,0.069,,,,
2020-06-06,246622,10438,6946,297,137938,4524317,0.071,,,,
2020-06-07,257486,10864,7207,261,142069,4666386,0.072,,,,
2020-06-08,265928,8442,7473,266,108048,4774434,0.072,,,,
2020-06-09,276146,10218,7750,277,141682,4916116,0.073,,,,
2020-06-10,286605,10459,8102,352,145216,5061332,0.073,,,,
2020-06-11,297535,10930,8498,396,151808,5213140,0.073,,,,
2020-06-12,308993,11458,8884,386,150305,5363445,0.075,,,,
2020-06-13,320922,11929,9195,311,143737,5507182,0.076,,,,
2020-06-14,332424,11502,9520,325,151432,5658614,0.076,,,,
2020-06-15,343091,10667,9900,380,115519,5774133,0.077,,,,
2020-06-16,354065,10974,11903,2003,146936,5921069,0.078,,,,
2020-06-17,366946,12881,12237,334,163187,6084256,0.079,,,,
2020-06-18,380532,13586,12573,336,165412,6249668,0.08,,,,
2020-06-19,395048,14516,12948,375,176959,6426627,0.081,,,,
2020-06-20,410451,15403,13254,306,189869,6616496,0.081,,,,
2020-06-21,425282,14831,13699,445,190730,6807226,0.081,,,,
2020-06-22,440215,14933,14011,312,143267,6950493,0.083,,,,
2020-06-23,456183,15968,14476,465,187223,7137716,0.084,,,,
2020-06-24,473105,16922,14894,418,215195,7352911,0.084,,,,
2020-06-25,490401,17296,15301,407,207871,7560782,0.084,,,,
2020-06-26,508953,18552,15685,384,215446,7776228,0.084,,,,
2020-06-27,528859,19906,16095,410,220479,7996707,0.086,,,,
2020-06-28,548318,19459,16475,380,231095,8227802,0.087,,,,
2020-06-29,566840,18522,16893,418,170560,8398362,0.087,,,,
2020-06-30,585481,18641,17400,507,210292,8608654,0.088,,,,
2020-07-01,604641,19160,17834,434,217931,8826585,0.089,,,,
2020-07-02,625544,20903,18213,379,229588,9056173,0.09,,,,
2020-07-03,648315,22771,18655,442,241576,9297749,0.092,,,,
2020-07-04,673165,24850,19268,613,242383,9540132,0.093,,,,
2020-07-05,697413,24248,19693,425,248934,9789066,0.095,,,,
2020-07-06,719664,22251,20159,466,180596,9969662,0.097,,,,
2020-07-07,742417,22753,20642,483,241430,10211092,0.098,,,,
2020-07-08,767296,24879,21129,487,262679,10473771,0.099,,,,
2020-07-09,793802,26506,21604,475,267061,10740832,0.1,,,,
2020-07-10,820916,27114,22123,519,283659,11024491,0.1,,,,
2020-07-11,849522,28606,22673,550,282511,11307002,0.1,,,,
2020-07-12,878254,28732,23174,501,280151,11587153,0.101,,,,
2020-07-13,906752,28498,23727,553,219103,11806256,0.102,,,,
2020-07-14,936181,29429,24309,582,286247,12092503,0.103,,,,
2020-07-15,968857,32676,24914,605,320161,12412664,0.104,,,,
2020-07-16,1003832,34975,25602,688,326826,12739490,0.105,,,,
2020-07-17,1039084,35252,26273,671,333228,13072718,0.107,,,,
2020-07-18,1077781,38697,26816,543,361024,13433742,0.107,,,,
2020-07-19,1118206,40425,27497,681,358127,13791869,0.109,,,,
2020-07-20,1155338,37132,28082,585,256039,14047908,0.111,,,,
2020-07-21,1193078,37740,28732,650,333395,14381303,0.112,,,,
2020-07-22,1238798,45720,29861,1129,343243,14724546,0.117,,,,
2020-07-23,1288108,49310,30601,740,350823,15075369,0.122,,,,
2020-07-24,1337024,48916,31358,757,352801,15428170,0.126,,,,
2020-07-25,1385635,48611,32060,702,420898,15849068,0.127,,,,
2020-07-26,1435616,49981,32771,711,442263,16291331,0.127,,,,
2020-07-27,1480073,44457,33408,637,515472,16806803,0.118,,,,
2020-07-28,1531669,51596,34193,785,528082,17334885,0.115,,,,
2020-07-29,1581963,50294,34955,762,408855,17743740,0.114,,,,
2020-07-30,1634746,52783,35718,763,446642,18190382,0.111,,,,
2020-07-31,1695988,61242,36511,793,642588,18832970,0.105,,,,
2020-08-01,1750723,54735,37364,853,525689,19358659,0.104,,,,
2020-08-02,1803695,52972,38135,771,463172,19821831,0.104,,,,
2020-08-03,1855745,52050,38938,803,381027,20202858,0.111,,,,
2020-08-04,1908254,52509,39795,857,661892,20864750,0.107,,,,
2020-08-05,1964536,56282,40699,904,619652,21484402,0.102,,,,
2020-08-06,2027074,62538,41585,886,664949,22149351,0.099,,,,
2020-08-07,2088611,61537,42518,933,639042,22788393,0.099,,,,
2020-08-08,2153010,64399,43379,861,598778,23387171,0.1,,,,
2020-08-09,2215074,62064,44386,1007,719364,24106535,0.096,,,,
2020-08-10,2268675,53601,45257,871,477023,24583558,0.094,,,,
2020-08-11,2329638,60963,46091,834,698290,25281848,0.095,,,,
2020-08-12,2396637,66999,47033,942,733449,26015297,0.095,,,,
2020-08-13,2461190,64553,48040,1007,830391,26845688,0.092,,,,
2020-08-14,2525922,64732,49036,996,848728,27694416,0.089,,,,
2020-08-15,2589952,64030,49980,944,868679,28563095,0.084,,,,
2020-08-16,2647663,57711,50921,941,746608,29309703,0.083,,,,
2020-08-17,2702681,55018,51797,876,731697,30041400,0.08,,,,
2020-08-18,2767253,64572,52888,1091,899864,30941264,0.077,,,,
2020-08-19,2836925,69672,53866,978,801518,31742782,0.077,,,,
2020-08-20,2905825,68900,54849,983,918470,32661252,0.076,,,,
2020-08-21,2975701,69876,55794,945,805985,33467237,0.078,,,,
2020-08-22,3044940,69239,56706,912,1023836,34491073,0.077,,,,
2020-08-23,3106348,61408,57542,836,801147,35292220,0.077,,,,
2020-08-24,3167323,60975,58390,848,609917,35902137,0.079,,,,
2020-08-25,3224547,57224,59357,967,925383,36827520,0.078,,,,
2020-08-26,3310234,85687,60472,1115,823992,37651512,0.08,,,,
2020-08-27,3387500,77266,61529,1057,924998,38576510,0.081,,,,
2020-08-28,3463972,76472,62550,1021,901338,39477848,0.081,,,,
2020-08-29,3542733,78761,63498,948,928761,40406609,0.084,,,,
2020-08-30,3621245,78512,64469,971,1055027,41461636,0.083,,,,
2020-08-31,3691166,69921,65288,819,846278,42307914,0.082,,,,
2020-09-01,3769523,78357,66333,1045,1016920,43324834,0.084,,,,
2020-09-02,3853406,83883,67376,1043,1012367,44337201,0.081,,,,
2020-09-03,3936747,83341,68472,1096,1172179,45509380,0.079,,,,
2020-09-04,4023179,86432,69561,1089,1169765,46679145,0.078,,,,
2020-09-05,4113811,90632,70626,1065,1059346,47738491,0.078,,,,
2020-09-06,4204613,90802,71642,1016,1092654,48831145,0.079,,,,
2020-09-07,4280422,75809,72775,1133,720362,49551507,0.081,,,,
2020-09-08,4370128,89706,73890,1115,1098621,50650128,0.082,,,,
2020-09-09,4465863,95735,75062,1172,1154549,51804677,0.082,,,,
2020-09-10,4562414,96551,76271,1209,1129756,52934433,0.084,,,,
2020-09-11,4659984,97570,77472,1201,1163542,54097975,0.086,,,,
2020-09-12,4754356,94372,78586,1114,1091251,55189226,0.086,,,,
2020-09-13,4846427,92071,79722,1136,1071702,56260928,0.086,,,,
2020-09-14,4930236,83809,80776,1054,978500,57239428,0.085,,,,
2020-09-15,5020359,90123,82066,1290,1072845,58312273,0.085,,,,
2020-09-16,5118253,97894,83198,1132,1116842,59429115,0.086,,,,
2020-09-17,5214677,96424,84372,1174,1136613,60565728,0.085,,,,
2020-09-18,5308014,93337,85619,1247,1006615,61572343,0.087,,,,
2020-09-19,5400619,92605,86752,1133,881911,62454254,0.089,,,,
2020-09-20,5487580,86961,87882,1130,1206806,63661060,0.087,,,,
2020-09-21,5562663,75083,88935,1053,731534,64392594,0.088,,,,
2020-09-22,5646010,83347,90020,1085,933185,65325779,0.089,,,,
2020-09-23,5732518,86508,91149,1129,953683,66279462,0.09,,,,
2020-09-24,5818570,86052,92290,1141,1156569,67436031,0.088,,,,
2020-09-25,5903932,85362,93379,1089,1492409,68928440,0.081,,,,
2020-09-26,5992532,88600,94503,1124,1341535,70269975,0.076,,,,
2020-09-27,6074702,82170,95542,1039,987861,71257836,0.077,,,,
2020-09-28,6145291,70589,96318,776,709394,71967230,0.077,,,,
2020-09-29,6225763,80472,97497,1179,1142811,73110041,0.074,,,,
2020-09-30,6312584,86821,98678,1181,1086688,74196729,0.073,,,,
2020-10-01,6394068,81484,99773,1095,1423052,75619781,0.07,,,,
2020-10-02,6473544,79476,100842,1069,1097947,76717728,0.073,,,,
2020-10-03,6549373,75829,101782,940,1132675,77850403,0.073,,,,
2020-10-04,6623815,74442,102685,903,1142131,78992534,0.071,,,,
2020-10-05,6685082,61267,103569,884,989860,79982394,0.067,,,,
2020-10-06,6757131,72049,104555,986,1089403,81071797,0.067,,,,
2020-10-07,6835655,78524,105526,971,1199857,82271654,0.065,,,,
2020-10-08,6906151,70496,106490,964,1194321,83465975,0.065,,,,
2020-10-09,6979423,73272,107416,926,1168705,84634680,0.064,,,,
2020-10-10,7053806,74383,108334,918,1164018,85798698,0.063,,,,
2020-10-11,7120538,66732,109150,816,1078544,86877242,0.063,,,,
2020-10-12,7175880,55342,109856,706,994851,87872093,0.062,,,,
2020-10-13,7239389,63509,110586,730,1073014,88945107,0.061,,,,
2020-10-14,7307097,67708,111266,680,1145015,90090122,0.06,,,,
2020-10-15,7370468,63371,112161,895,1136183,91226305,0.06,,,,
2020-10-16,7432680,62212,112998,837,1028622,92254927,0.059,,,,
2020-10-17,7494551,61871,114031,1033,999090,93254017,0.059,,,,
2020-10-18,7550273,55722,114610,579,970173,94224190,0.058,,,,
2020-10-19,7597063,46790,115197,587,859786,95083976,0.058,,,,
2020-10-20,7651107,54044,115914,717,1032795,96116771,0.057,,,,
2020-10-21,7706946,55839,116616,702,1083608,97200379,0.056,,,,
2020-10-22,7761312,54366,117306,690,1469984,98670363,0.053,,,,
2020-10-23,7814682,53370,117956,650,1442722,100113085,0.049,,,,
2020-10-24,7864811,50129,118534,578,1269479,101382564,0.046,,,,
2020-10-25,7909959,45148,119014,480,1140905,102523469,0.043,,,,
2020-10-26,7946429,36470,119502,488,939309,103462778,0.042,,,,
2020-10-27,7990322,43893,120010,508,958116,104420894,0.041,,,,
2020-10-28,8040203,49881,120527,517,1066786,105487680,0.04,,,,
2020-10-29,8088851,48648,121090,563,1075760,106563440,0.041,,,,
2020-10-30,8137119,48268,121641,551,1164648,107728088,0.042,,,,
2020-10-31,8184082,46963,122111,470,1067976,108796064,0.043,,,,
2020-11-01,8229313,45231,122607,496,1091239,109887303,0.043,,,,
2020-11-02,8267623,38310,123097,490,855800,110743103,0.044,,,,
2020-11-03,8313876,46253,123611,514,1046247,111789350,0.044,,,,
2020-11-04,8364086,50210,124315,704,1209609,112998959,0.043,,,,
2020-11-05,8411724,47638,124985,670,1209425,114208384,0.042,,,,
2020-11-06,8462080,50356,125562,577,1220711,115429095,0.042,,,,
2020-11-07,8507754,45674,126121,559,1113209,116542304,0.042,,,,
2020-11-08,8553657,45903,126611,490,1194487,117736791,0.041,,,,
2020-11-09,8591730,38073,127059,448,835401,118572192,0.041,,,,
2020-11-10,8636011,44281,127571,512,1043665,119615857,0.041,,,,
2020-11-11,8683916,47905,128121,550,1153294,120769151,0.041,,,,
2020-11-12,8728795,44879,128668,547,1193358,121962509,0.041,,,,
2020-11-13,8773479,44684,129188,520,1139230,123101739,0.041,,,,
2020-11-14,8814579,41100,129635,447,929491,124031230,0.041,,,,
2020-11-15,8845127,30548,130070,435,805589,124836819,0.041,,,,
2020-11-16,8874290,29163,130519,449,861706,125698525,0.04,,,,
2020-11-17,8912907,38617,130993,474,844382,126542907,0.04,,,,
2020-11-18,8958483,45576,131578,585,937279,127480186,0.041,,,,
2020-11-19,9004365,45882,132162,584,1028203,128508389,0.042,,,,
2020-11-20,9050597,46232,132726,564,1083397,129591786,0.043,,,,
2020-11-21,9095806,45209,133227,501,1066022,130657808,0.042,,,,
2020-11-22,9139865,44059,133738,511,1075326,131733134,0.043,,,,
2020-11-23,9177840,37975,134218,480,849596,132582730,0.044,,,,
2020-11-24,9222216,44376,134699,481,1099545,133682275,0.043,,,,
2020-11-25,9266705,44489,135223,524,1159032,134841307,0.042,,,,
2020-11-26,9309787,43082,135715,492,1090238,135931545,0.041,,,,
2020-11-27,9351109,41322,136200,485,1131204,137062749,0.04,,,,
2020-11-28,9392919,41810,136696,496,1157605,138220354,0.039,,,,
2020-11-29,9431691,38772,137139,443,1283449,139503803,0.038,,,,
2020-11-30,9462809,31118,137621,482,876173,140379976,0.037,,,,
2020-12-01,9499413,36604,138122,501,969322,141349298,0.036,,,,
2020-12-02,9534964,35551,138648,526,1096651,142445949,0.035,,,,
2020-12-03,9571559,36595,139188,540,1111698,143557647,0.034,,,,
2020-12-04,9608211,36652,139700,512,1170102,144727749,0.034,,,,
2020-12-05,9644222,36011,140182,482,1157763,145885512,0.033,,,,
2020-12-06,9677203,32981,140573,391,1101063,146986575,0.033,,,,
2020-12-07,9703770,26567,140958,385,801081,147787656,0.033,,,,
2020-12-08,9735850,32080,141360,402,1026399,148814055,0.032,,,,
2020-12-09,9767371,31521,141772,412,1022712,149836767,0.031,,,,
2020-12-10,9796744,29373,142185,413,922959,150759726,0.031,,,,
2020-12-11,9826775,30031,142628,443,,,0.031,,,,
